old_path,new_path,category,split,sha256
images/SmallTreeForestTrain07.jpg,renamedimages/img_0c3bc8ea53a6.jpg,SmallTreeForest,train,655628bbd2cc4ce12149f073294a24f64cb74dab4a4b7965f2218812b514d012
images/BigTreeForestVal05.jpg,renamedimages/img_5c10636ad735.jpg,BigTreeForest,val,a8507fd8cc79be2d3b36bc350f64b36d8ceac45cdaa7003e1c34b813e1c9c87e
images/SmallTreeForestVal04.jpg,renamedimages/img_8e0cc915294b.jpg,SmallTreeForest,val,94f846d1a9fde01a50d81cc80cc8f3e9d79200ee27cd45de77046577f0d50aaf
images/DryRockyTest01.jpg,renamedimages/img_138b48505edf.jpg,DryRocky,test,9551ccb21a3dfa26c63ae3d30120604868cb19bef8e1f8a7a31f667fe87333c3
images/BigTreeForestVal03.jpg,renamedimages/img_0e8422895b52.jpg,BigTreeForest,val,5d2ac2089e2800bdb5a05e181c514da070cfb92080b395da391a5d34eb1a30be
images/ContinuousVal04.jpg,renamedimages/img_b123482bbe60.jpg,Continuous,val,a7074a6c022e496bbf3052b0df6d00d0f4fa151647929871f4d840a9adf8ca38
images/DryRockyTrain04.jpg,renamedimages/img_91290ba4a0b9.jpg,DryRocky,train,e2149337a14aa8160eae9ec5cccd4885dd71a8fb154f14efe7fcd57dd267b20b
images/SmallTreeForestVal03.jpg,renamedimages/img_df46b87525cf.jpg,SmallTreeForest,val,5cc8b91a0b2b15a18bc5002a60ddb891915aa8869b85f70af3b6ec5cb998f13b
images/SmallTreeForestTest04.jpg,renamedimages/img_cb50a0d4b3ce.jpg,SmallTreeForest,test,f3605474a5ecdeed3118648aab5d69865b7b761b36ace9023f1ce1a9aabb7434
images/ContinuousTrain04.jpg,renamedimages/img_cdb79a29f087.jpg,Continuous,train,e12bc41c16d06b2c30a7d7629a204d7674d530da135dc7e740a9aa3f55bf12f6
images/DryRockyTest02.jpg,renamedimages/img_8586d0abfc57.jpg,DryRocky,test,19f51c1d015e06cd98bbf48de81aa1799a46f70c615cb5ddcbaa6ca9776dc3ec
images/SmallTreeForestVal01.jpg,renamedimages/img_72983f459054.jpg,SmallTreeForest,val,a4cc3710f4ffdc59b8a6ff0765fe71a01cb2b983d0655ea122fd7fa05f6e50dc
images/DryRockyVal02.jpg,renamedimages/img_936ff81e5384.jpg,DryRocky,val,039808200292f6d2d2c1bd215152e8e1e6ccff7bba7fb491cbc9d85b22b28c3d
images/BigTreeForestTest01.jpg,renamedimages/img_5d28f45f1c49.jpg,BigTreeForest,test,bc7465de28cad9a09328a0036a2aeddd212dc30c618d1a85a803d585e760c3de
images/DryRockyTest04.jpg,renamedimages/img_d7a46c38b5db.jpg,DryRocky,test,53c7c0b6725cdf8d45e58462f74cff60418d7487c854e36446dae51127e01098
images/BigTreeForestTrain05.jpg,renamedimages/img_36891bf60e2b.jpg,BigTreeForest,train,60a7190d3829ce6f69d9dc567a3cddf425904e363f80695b2cecc9ffffbc42d2
images/DryRockyTrain07.jpg,renamedimages/img_6d758440386e.jpg,DryRocky,train,523fe89a3d575581b4081008d372c3c7b182175b27a4fa892e7d1981eec0e227
images/SmallTreeForestTrain01.jpg,renamedimages/img_09faebd260f0.jpg,SmallTreeForest,train,cc0a59c3c77e6ed279ad1a27a612e4489629b02c3b9f301478711b74b4fbfaef
images/ContinuousTrain03.jpg,renamedimages/img_308a97fff36c.jpg,Continuous,train,02b4904568863b205c1ffa3740de1cb96598778d252d36126c9fb3282ee063e6
images/BigTreeForestVal04.jpg,renamedimages/img_1797afe2ec2a.jpg,BigTreeForest,val,be856203a8966af00e82621d3473656cc581d3858e318914c225cf765130267f
images/BigTreeForestTest04.jpg,renamedimages/img_20c5bc3e056b.jpg,BigTreeForest,test,684a8dd3b708416b702ce5bf6227bd451963de517b0bbe9e44309da7ebc631ae
images/BigTreeForestTrain07.jpg,renamedimages/img_c9b614973799.jpg,BigTreeForest,train,5118cbfea1d0e636688828f487d9b37c526e7dd04063f88825c3ab3920dcc4cf
images/SmallTreeForestTest02.jpg,renamedimages/img_6f7c59b0d4f2.jpg,SmallTreeForest,test,d97154d078026fc5c9087ba8f0eee67104326ce5da0d8c3367050a3f4dd31206
images/SmallTreeForestVal05.jpg,renamedimages/img_68521efc750a.jpg,SmallTreeForest,val,38126567c6cc9d85d3bd5d0aea5821d329c48dd2d9b3ba01b2922f6ce22ee854
images/ContinuousTrain02.jpg,renamedimages/img_5ed2d813a71e.jpg,Continuous,train,5a380950ee9667d3a9c2022e8f5538532ac045f2e9a59464ce7694d69f09f195
images/ContinuousTrain06.jpg,renamedimages/img_53c12d562876.jpg,Continuous,train,716d2b2cbf8a3729511e3be91d516ad84fbd516c61f2b98311a4590523ed9b34
images/SmallTreeForestTrain04.jpg,renamedimages/img_3c9223e46fcc.jpg,SmallTreeForest,train,0af6bc7b02e0117ea9754d929fd2b7f6b5251af6f4d5a3d1b59b7748acaef71f
images/BigTreeForestTest02.jpg,renamedimages/img_64fa34fdb59d.jpg,BigTreeForest,test,0fdc6a0210341013db299368d872bfd46290b1c852716a246454273765857994
images/DryRockyTrain02.jpg,renamedimages/img_4b37e2d63e30.jpg,DryRocky,train,3b94a01bec496146366b6d5244b5b51964c3f1b1f1f49a3a9aee08e98c93cda5
images/ContinuousVal02.jpg,renamedimages/img_4fa9a1375243.jpg,Continuous,val,e55cce02ed68ef604af07c368010fb335c58dda4719df616b2882e9dfd589dd4
